commit_sha,feature_set,commit_policy,virgin_zero_skip,cpu,os,rustc,scenario,size,touch,reps,mean_ns_per_op,p50_ns_per_op,min_ns_per_op,max_ns_per_op,mean_activation_pct,min_activation_pct,oracle,landing_commit
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,16k,onebyte,50,79204.0,76300.0,69800.0,114700.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,16k,full,50,87330.0,85800.0,58700.0,144400.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,64k,notouch,50,142668.0,135400.0,95200.0,252800.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,64k,onebyte,50,109038.0,103800.0,92400.0,158900.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,64k,full,50,173910.0,175800.0,123700.0,297400.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,128k,notouch,50,205038.0,187000.0,131400.0,398700.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,128k,onebyte,50,185854.0,178500.0,134000.0,652100.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,128k,full,50,315178.0,281500.0,194600.0,1237500.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,4k,notouch,10,63.1,62.5,56.2,81.2,0.00,0.00,FAIL,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,4k,onebyte,10,68.1,62.5,62.5,106.2,0.00,0.00,FAIL,d8f467b869c226150746532c484944958ee31808
