=== R34-11 catch-up decay gate — stride=64 catchup_max=8 ===
RESULT sparse_ts=1 interval=5 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=25 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=6 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=29 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=7 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=33 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=8 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=37 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=9 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=41 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=10 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=45 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=11 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=49 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=12 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=53 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=13 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=57 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=14 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=61 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=15 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=65 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=16 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=69 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=17 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=73 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=18 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=77 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=19 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=81 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=20 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=85 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=21 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=89 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=22 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=93 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=23 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=97 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=24 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=101 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=25 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=105 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=26 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=109 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=27 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=113 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=28 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=117 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=29 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=121 released_cum=4 rss_kib=11384
